r,g,b,label
174,174,255,orange-ish
103,160,13,green-ish
231,192,41,orange-ish
45,147,59,red-ish
89,23,90,purple-ish
76,0,98,green-ish
223,1,66,red-ish
124,166,193,blue-ish
80,175,23,brown-ish
10,215,78,brown-ish
46,116,81,yellow-ish
192,64,155,purple-ish
183,139,74,brown-ish
215,23,29,red-ish
138,16,247,purple-ish
170,202,45,green-ish
34,28,211,blue-ish
100,170,136,green-ish
59,226,216,blue-ish
24,240,207,blue-ish
125,255,194,green-ish
123,226,155,blue-ish
237,162,36,orange-ish
215,195,154,brown-ish
127,203,98,green-ish
249,61,15,red-ish
252,218,72,yellow-ish
21,36,85,blue-ish
189,213,170,grey-ish
181,53,100,pink-ish
170,131,125,brown-ish
183,239,217,blue-ish
175,99,125,pink-ish
166,193,243,blue-ish
203,132,195,pink-ish
114,218,204,blue-ish
232,67,179,pink-ish
188,147,1,orange-ish
159,126,189,purple-ish
225,37,163,pink-ish
152,66,137,purple-ish
129,47,221,blue-ish
222,133,88,orange-ish
155,16,243,purple-ish
142,225,72,green-ish
50,45,192,blue-ish
223,157,98,orange-ish
109,42,106,purple-ish
129,76,210,blue-ish
69,115,173,blue-ish
176,239,156,red-ish
145,110,44,brown-ish
142,247,250,blue-ish
177,12,42,red-ish
204,88,168,purple-ish
240,242,242,grey-ish
62,142,128,purple-ish
33,244,155,green-ish
63,132,213,purple-ish
210,21,197,purple-ish
76,205,124,green-ish
96,6,17,purple-ish
72,165,6,green-ish
145,237,214,purple-ish
17,1,93,blue-ish
44,16,234,blue-ish
242,37,88,pink-ish
14,177,91,green-ish
134,104,211,blue-ish
19,27,9,grey-ish
215,32,59,pink-ish
21,116,14,green-ish
194,255,97,green-ish
190,78,250,purple-ish
5,33,84,blue-ish
209,90,192,pink-ish
178,5,109,purple-ish
9,187,31,green-ish
149,254,72,green-ish
163,196,101,green-ish
255,36,109,pink-ish
187,57,241,purple-ish
133,61,55,brown-ish
8,206,210,green-ish
163,247,224,blue-ish
206,65,111,pink-ish
114,3,213,blue-ish
123,119,14,green-ish
180,197,49,red-ish
248,43,195,pink-ish
218,84,105,red-ish
155,12,205,red-ish
219,181,227,pink-ish
101,182,200,blue-ish
54,228,214,yellow-ish
246,81,175,pink-ish
213,37,52,red-ish
190,216,14,green-ish
167,220,50,green-ish
142,227,149,green-ish
132,54,157,purple-ish
227,148,13,orange-ish
226,145,232,pink-ish
131,193,191,blue-ish
213,124,230,pink-ish
186,137,241,purple-ish
120,109,76,grey-ish
120,230,149,green-ish
49,208,185,green-ish
53,73,168,blue-ish
94,112,125,grey-ish
125,51,222,blue-ish
104,203,34,green-ish
5,180,132,green-ish
5,68,210,blue-ish
223,84,46,red-ish
253,210,158,orange-ish
220,179,250,grey-ish
150,139,47,brown-ish
239,249,146,yellow-ish
6,98,35,green-ish
158,122,57,brown-ish
12,174,56,brown-ish
5,41,175,blue-ish
24,4,27,grey-ish
225,244,185,brown-ish
238,157,206,pink-ish
162,96,251,blue-ish
65,76,100,grey-ish
249,247,120,yellow-ish
100,190,65,green-ish
215,71,119,pink-ish
37,228,152,green-ish
139,129,17,green-ish
60,87,210,blue-ish
36,194,2,green-ish
227,126,90,brown-ish
188,64,121,purple-ish
131,126,112,grey-ish
169,139,216,purple-ish
50,47,252,blue-ish
205,34,10,red-ish
106,92,191,purple-ish
231,27,145,red-ish
99,32,87,purple-ish
250,68,12,red-ish
2,1,207,blue-ish
246,176,222,pink-ish
1,235,122,green-ish
186,206,10,green-ish
153,141,8,green-ish
2,223,109,green-ish
164,17,15,red-ish
117,142,171,blue-ish
11,94,123,blue-ish
35,217,76,green-ish
144,2,195,purple-ish
1,137,84,green-ish
221,27,66,purple-ish
138,54,13,brown-ish
29,41,173,blue-ish
249,204,63,yellow-ish
101,189,196,blue-ish
255,239,222,pink-ish
0,173,45,green-ish
159,211,80,green-ish
222,217,47,yellow-ish
178,61,48,red-ish
127,90,199,blue-ish
93,36,33,brown-ish
251,17,6,red-ish
123,253,225,blue-ish
163,172,134,grey-ish
147,177,192,blue-ish
12,144,49,green-ish
42,180,63,green-ish
236,47,34,red-ish
252,246,134,yellow-ish
69,138,241,blue-ish
98,101,225,blue-ish
181,41,163,purple-ish
172,139,244,blue-ish
186,49,26,red-ish
100,59,158,blue-ish
218,158,205,pink-ish
142,22,49,red-ish
172,97,143,pink-ish
187,55,195,purple-ish
237,241,137,yellow-ish
105,50,60,brown-ish
11,247,170,green-ish
152,21,180,purple-ish
32,10,111,blue-ish
17,9,136,blue-ish
120,210,159,green-ish
144,193,11,green-ish
70,172,145,green-ish
81,227,187,blue-ish
29,7,176,blue-ish
122,225,52,green-ish
104,118,164,grey-ish
169,49,108,purple-ish
104,128,38,green-ish
61,136,12,green-ish
251,234,200,yellow-ish
117,70,166,purple-ish
74,130,4,green-ish
104,134,82,green-ish
227,194,45,orange-ish
246,27,226,pink-ish
117,6,144,purple-ish
152,66,73,red-ish
65,158,16,green-ish
63,52,242,blue-ish
244,127,227,pink-ish
111,242,181,blue-ish
184,67,247,purple-ish
162,74,223,purple-ish
147,173,13,green-ish
123,92,8,brown-ish
245,138,50,orange-ish
32,250,245,blue-ish
86,16,18,brown-ish
159,100,73,brown-ish
131,169,68,green-ish
99,48,207,blue-ish
170,193,77,green-ish
165,72,95,red-ish
226,75,171,pink-ish
16,226,67,green-ish
57,85,163,blue-ish
226,177,59,orange-ish
135,196,245,blue-ish
167,97,44,brown-ish
55,102,128,blue-ish
215,72,247,purple-ish
201,171,10,brown-ish
115,226,175,green-ish
129,189,87,green-ish
155,151,77,green-ish
206,21,197,purple-ish
110,46,145,purple-ish
57,168,101,green-ish
239,198,155,orange-ish
249,223,101,yellow-ish
203,122,20,orange-ish
217,223,224,grey-ish
64,23,104,purple-ish
0,36,154,blue-ish
198,90,208,pink-ish
253,97,11,orange-ish
63,192,63,green-ish
87,184,27,green-ish
79,55,154,blue-ish
254,182,68,orange-ish
188,93,13,orange-ish
23,93,42,green-ish
183,149,35,orange-ish
22,120,205,blue-ish
190,228,158,green-ish
1,58,36,grey-ish
248,207,160,orange-ish
94,192,172,green-ish
240,255,247,green-ish
236,117,14,orange-ish
213,15,33,red-ish
66,117,114,green-ish
177,150,124,brown-ish
252,49,208,pink-ish
3,8,128,blue-ish
56,104,121,blue-ish
247,36,203,pink-ish
182,175,91,green-ish
190,164,76,green-ish
224,208,114,green-ish
134,216,141,green-ish
231,140,237,pink-ish
247,109,147,red-ish
168,33,154,purple-ish
187,168,81,brown-ish
151,214,16,green-ish
155,238,49,green-ish
54,138,132,blue-ish
237,12,177,pink-ish
143,129,164,blue-ish
100,28,244,blue-ish
87,220,71,green-ish
188,66,199,purple-ish
53,164,13,green-ish
6,218,71,green-ish
77,84,172,blue-ish
200,129,192,purple-ish
134,165,73,green-ish
197,217,221,blue-ish
160,3,184,purple-ish
81,29,247,blue-ish
244,72,237,pink-ish
92,254,247,blue-ish
28,239,248,blue-ish
34,36,246,blue-ish
165,51,115,purple-ish
248,215,169,orange-ish
227,116,58,orange-ish
126,82,214,purple-ish
205,122,182,pink-ish
162,122,140,purple-ish
181,185,33,green-ish
137,125,65,brown-ish
143,83,187,purple-ish
173,6,76,red-ish
25,141,136,green-ish
249,162,244,purple-ish
124,33,229,purple-ish
85,133,156,blue-ish
44,20,102,blue-ish
32,154,15,green-ish
255,118,143,pink-ish
179,216,149,green-ish
21,222,181,purple-ish
28,206,250,blue-ish
162,126,162,purple-ish
72,197,224,blue-ish
183,112,235,purple-ish
215,214,151,green-ish
14,72,96,blue-ish
104,6,254,blue-ish
123,151,199,blue-ish
107,155,160,red-ish
139,63,41,brown-ish
151,146,166,grey-ish
64,71,243,blue-ish
176,117,102,brown-ish
52,117,37,green-ish
98,148,15,green-ish
25,88,200,blue-ish
109,74,9,brown-ish
41,164,109,green-ish
42,6,99,blue-ish
204,158,74,orange-ish
6,109,233,blue-ish
93,88,117,blue-ish
41,244,11,green-ish
66,106,138,brown-ish
48,205,104,green-ish
26,69,112,brown-ish
214,14,215,purple-ish
139,177,213,blue-ish
62,178,207,blue-ish
90,63,76,purple-ish
142,33,41,red-ish
39,90,247,blue-ish
83,50,159,purple-ish
133,128,42,green-ish
186,18,86,red-ish
224,188,227,pink-ish
13,4,4,brown-ish
252,131,10,orange-ish
46,230,208,green-ish
197,49,74,red-ish
239,186,124,orange-ish
244,75,18,orange-ish
58,22,69,purple-ish
7,202,185,blue-ish
28,244,120,green-ish
238,206,203,pink-ish
69,160,101,green-ish
171,93,121,purple-ish
62,62,33,green-ish
150,241,124,green-ish
48,246,219,blue-ish
49,117,43,green-ish
105,116,61,green-ish
14,190,216,blue-ish
75,155,254,blue-ish
221,198,79,yellow-ish
100,100,156,purple-ish
11,245,82,green-ish
57,133,225,blue-ish
35,177,173,green-ish
56,91,48,green-ish
185,98,226,purple-ish
216,155,129,pink-ish
105,23,213,purple-ish
64,125,110,green-ish
225,188,245,pink-ish
15,71,198,blue-ish
240,212,42,yellow-ish
5,55,103,blue-ish
68,224,190,green-ish
186,14,231,purple-ish
33,133,111,green-ish
40,101,102,green-ish
27,87,164,blue-ish
232,78,4,red-ish
82,255,11,green-ish
34,228,110,green-ish
115,17,238,blue-ish
59,153,28,green-ish
56,134,13,green-ish
203,151,139,pink-ish
119,157,193,blue-ish
208,140,55,orange-ish
104,27,211,blue-ish
128,109,22,brown-ish
16,140,89,green-ish
121,162,73,green-ish
122,181,225,blue-ish
16,138,176,blue-ish
47,212,44,green-ish
255,8,87,blue-ish
134,178,9,green-ish
104,222,206,blue-ish
224,72,19,orange-ish
15,14,236,orange-ish
141,29,160,purple-ish
61,92,253,blue-ish
255,28,19,red-ish
236,71,110,pink-ish
176,142,218,yellow-ish
24,56,211,blue-ish
192,59,52,red-ish
18,20,5,grey-ish
232,50,112,pink-ish
66,90,120,grey-ish
17,155,215,brown-ish
20,23,163,purple-ish
98,175,100,green-ish
117,240,235,blue-ish
93,88,153,purple-ish
21,133,135,blue-ish
34,162,178,blue-ish
202,162,53,orange-ish
43,119,142,red-ish
75,198,53,green-ish
144,69,61,brown-ish
200,163,27,yellow-ish
121,252,98,green-ish
117,47,121,purple-ish
198,18,236,purple-ish
99,84,189,blue-ish
248,66,191,pink-ish
237,35,48,red-ish
145,216,124,green-ish
183,96,105,red-ish
125,230,83,green-ish
220,241,199,blue-ish
160,53,84,red-ish
86,91,38,green-ish
70,189,79,green-ish
157,2,18,red-ish
149,219,122,green-ish
148,190,189,blue-ish
223,157,252,pink-ish
0,153,129,green-ish
181,174,56,green-ish
95,224,145,green-ish
27,46,31,green-ish
153,99,61,brown-ish
19,0,119,purple-ish
191,64,172,purple-ish
84,114,52,green-ish
3,126,34,green-ish
2,18,202,blue-ish
60,134,180,blue-ish
21,141,208,blue-ish
123,124,173,blue-ish
208,59,174,purple-ish
67,8,93,purple-ish
228,229,76,yellow-ish
82,44,255,blue-ish
36,87,51,green-ish
187,129,237,purple-ish
63,9,98,purple-ish
165,102,19,brown-ish
201,76,70,red-ish
82,13,237,blue-ish
169,2,90,pink-ish
155,60,12,brown-ish
176,236,167,green-ish
171,58,252,purple-ish
36,176,106,green-ish
227,25,238,pink-ish
223,179,222,pink-ish
219,144,119,pink-ish
7,186,33,green-ish
194,113,38,orange-ish
7,195,28,green-ish
225,209,181,brown-ish
218,145,195,pink-ish
9,30,221,blue-ish
252,195,251,pink-ish
212,17,35,red-ish
90,131,132,grey-ish
234,86,31,orange-ish
64,142,82,green-ish
36,110,190,blue-ish
109,162,46,green-ish
186,106,160,purple-ish
142,212,220,blue-ish
138,148,36,green-ish
142,67,1,brown-ish
211,72,6,orange-ish
55,23,246,blue-ish
110,38,79,purple-ish
244,105,231,purple-ish
101,65,84,purple-ish
142,69,118,purple-ish
233,245,12,green-ish
193,182,213,grey-ish
221,170,50,yellow-ish
147,222,168,green-ish
16,31,54,blue-ish
30,224,77,green-ish
210,80,233,purple-ish
179,252,103,pink-ish
162,224,67,green-ish
85,43,244,blue-ish
40,145,67,green-ish
210,125,111,pink-ish
178,154,45,green-ish
232,129,180,pink-ish
38,140,184,blue-ish
115,176,238,blue-ish
162,33,27,red-ish
177,150,194,purple-ish
30,38,197,blue-ish
215,175,104,orange-ish
197,8,90,pink-ish
164,139,154,purple-ish
131,186,55,green-ish
91,144,102,green-ish
198,173,38,yellow-ish
60,48,202,blue-ish
42,86,222,blue-ish
219,231,135,green-ish
185,13,243,purple-ish
97,65,71,grey-ish
232,192,192,pink-ish
226,211,225,pink-ish
69,20,135,purple-ish
14,34,127,blue-ish
66,165,64,green-ish
119,64,55,brown-ish
239,38,20,red-ish
254,220,71,yellow-ish
68,135,67,green-ish
91,146,184,blue-ish
149,251,178,green-ish
56,176,201,blue-ish
200,9,170,purple-ish
61,19,69,purple-ish
157,163,254,blue-ish
250,165,94,orange-ish
96,59,235,blue-ish
93,153,20,green-ish
175,115,168,purple-ish
242,20,88,red-ish
100,74,132,purple-ish
42,44,219,blue-ish
40,101,156,blue-ish
130,34,56,red-ish
21,13,163,blue-ish
197,146,178,purple-ish
177,55,254,purple-ish
175,202,51,green-ish
176,5,164,pink-ish
84,244,195,blue-ish
90,184,93,green-ish
155,108,7,brown-ish
81,242,96,green-ish
36,56,154,blue-ish
205,121,66,brown-ish
220,56,171,purple-ish
157,47,79,purple-ish
118,81,252,purple-ish
64,169,119,green-ish
78,243,195,green-ish
14,255,243,blue-ish
89,176,200,blue-ish
34,29,226,blue-ish
128,163,136,green-ish
17,85,30,green-ish
140,61,197,purple-ish
28,204,218,blue-ish
165,189,60,green-ish
123,67,238,purple-ish
226,233,175,grey-ish
123,90,76,brown-ish
57,74,218,blue-ish
140,3,98,purple-ish
244,36,112,red-ish
210,184,132,yellow-ish
172,89,230,blue-ish
176,57,53,red-ish
78,15,224,purple-ish
232,39,235,pink-ish
37,123,196,blue-ish
139,25,247,purple-ish
176,251,244,blue-ish
74,80,7,green-ish
66,228,214,blue-ish
56,203,212,blue-ish
66,7,50,purple-ish
16,71,9,green-ish
166,68,87,red-ish
59,214,158,green-ish
71,94,97,grey-ish
28,145,182,blue-ish
48,81,196,blue-ish
76,229,184,green-ish
57,252,197,green-ish
9,117,49,green-ish
193,218,246,green-ish
89,213,87,green-ish
146,204,208,blue-ish
188,173,69,green-ish
81,183,133,green-ish
101,253,194,green-ish
201,200,122,yellow-ish
71,181,144,green-ish
19,119,192,blue-ish
56,174,166,blue-ish
123,113,224,purple-ish
3,186,92,green-ish
125,121,216,blue-ish
156,210,173,green-ish
63,209,246,blue-ish
137,89,45,brown-ish
166,122,160,purple-ish
103,69,172,purple-ish
115,10,172,purple-ish
191,210,162,green-ish
22,86,1,green-ish
199,202,243,blue-ish
206,28,188,purple-ish
11,181,157,green-ish
176,130,48,brown-ish
124,229,111,green-ish
246,106,31,orange-ish
226,13,88,red-ish
138,224,50,green-ish
236,213,42,yellow-ish
172,111,101,brown-ish
17,98,28,green-ish
7,162,177,blue-ish
84,123,204,blue-ish
202,107,100,pink-ish
33,78,225,blue-ish
248,14,254,pink-ish
67,243,78,green-ish
121,97,159,purple-ish
157,51,189,purple-ish
26,177,137,green-ish
244,247,5,green-ish
55,88,175,blue-ish
22,12,184,blue-ish
253,193,179,pink-ish
85,211,95,green-ish
213,77,36,orange-ish
161,189,164,grey-ish
199,78,17,orange-ish
233,111,209,pink-ish
236,41,39,red-ish
243,240,122,green-ish
44,56,158,blue-ish
152,174,219,blue-ish
91,32,245,blue-ish
23,6,66,purple-ish
121,115,38,green-ish
99,75,148,blue-ish
210,50,63,red-ish
102,191,206,blue-ish
6,172,70,green-ish
27,198,196,blue-ish
137,217,144,green-ish
142,146,228,blue-ish
106,211,164,green-ish
39,250,55,green-ish
200,95,165,pink-ish
181,167,156,grey-ish
226,178,97,orange-ish
17,53,38,green-ish
166,53,169,purple-ish
84,177,212,blue-ish
220,200,7,yellow-ish
6,92,239,blue-ish
238,23,199,pink-ish
251,45,74,red-ish
81,174,28,green-ish
87,31,223,purple-ish
140,131,0,green-ish
163,33,74,red-ish
225,226,150,green-ish
85,137,96,green-ish
38,255,69,green-ish
196,36,171,pink-ish
14,246,107,green-ish
114,158,7,green-ish
185,190,43,yellow-ish
231,9,216,pink-ish
163,29,51,red-ish
172,154,167,grey-ish
132,59,151,purple-ish
120,234,196,blue-ish
91,159,90,green-ish
126,203,83,green-ish
229,209,23,yellow-ish
119,200,20,green-ish
181,142,246,purple-ish
200,123,57,orange-ish
179,252,74,green-ish
159,231,88,green-ish
93,222,69,green-ish
243,124,160,pink-ish
114,197,239,blue-ish
169,58,216,purple-ish
167,5,32,red-ish
139,154,16,green-ish
237,147,33,orange-ish
117,59,6,brown-ish
75,22,226,blue-ish
104,28,181,purple-ish
7,98,163,blue-ish
208,14,219,purple-ish
198,46,98,pink-ish
229,36,110,pink-ish
178,211,227,blue-ish
139,162,48,green-ish
6,204,206,blue-ish
154,17,110,pink-ish
10,16,198,blue-ish
103,133,184,blue-ish
50,81,73,green-ish
146,35,37,red-ish
46,194,12,green-ish
161,81,1,brown-ish
62,217,222,blue-ish
76,31,140,purple-ish
109,41,228,blue-ish
80,122,22,green-ish
35,19,180,blue-ish
164,221,38,green-ish
241,113,4,orange-ish
186,204,66,yellow-ish
233,46,108,pink-ish
95,9,255,blue-ish
60,167,54,green-ish
147,202,217,blue-ish
229,46,206,pink-ish
90,241,58,green-ish
193,139,191,purple-ish
11,67,166,blue-ish
59,196,25,green-ish
245,36,156,pink-ish
101,232,132,green-ish
178,245,151,green-ish
166,26,69,red-ish
131,73,231,purple-ish
243,161,19,orange-ish
238,15,24,red-ish
6,59,71,blue-ish
245,242,210,grey-ish
157,153,37,green-ish
146,139,33,green-ish
140,219,187,blue-ish
89,41,244,blue-ish
51,99,86,green-ish
178,159,254,blue-ish
230,102,67,orange-ish
75,59,190,blue-ish
255,8,198,pink-ish
35,249,230,blue-ish
152,155,17,yellow-ish
43,212,175,green-ish
104,255,46,green-ish
198,19,233,purple-ish
233,68,183,pink-ish
81,223,76,green-ish
5,142,66,green-ish
213,255,32,yellow-ish
87,184,246,blue-ish
203,153,141,brown-ish
207,130,175,pink-ish
95,238,119,green-ish
50,49,217,blue-ish
233,164,182,pink-ish
216,2,40,red-ish
200,208,69,green-ish
129,99,184,purple-ish
211,6,159,pink-ish
250,220,170,orange-ish
152,210,112,green-ish
10,54,221,blue-ish
6,23,56,blue-ish
136,186,14,green-ish
34,54,139,blue-ish
100,201,230,blue-ish
199,149,49,orange-ish
187,175,212,purple-ish
68,46,96,purple-ish
66,44,47,red-ish
141,10,112,purple-ish
125,116,43,green-ish
55,38,187,blue-ish
169,168,116,green-ish
212,196,95,yellow-ish
202,58,27,red-ish
237,155,144,pink-ish
32,39,100,blue-ish
216,64,168,pink-ish
154,125,18,green-ish
8,147,202,blue-ish
236,172,106,orange-ish
226,239,161,yellow-ish
32,38,180,blue-ish
249,185,118,orange-ish
230,225,19,yellow-ish
254,66,235,pink-ish
181,239,138,green-ish
173,110,120,pink-ish
65,190,46,green-ish
209,99,154,pink-ish
224,90,1,orange-ish
46,173,108,green-ish
114,157,123,green-ish
59,230,86,green-ish
212,68,170,pink-ish
200,153,132,brown-ish
137,23,35,red-ish
17,214,250,blue-ish
202,51,31,red-ish
225,107,193,pink-ish
212,60,149,pink-ish
26,253,243,blue-ish
212,61,77,pink-ish
165,236,231,blue-ish
169,206,233,blue-ish
136,109,8,brown-ish
40,94,93,green-ish
19,169,121,green-ish
245,78,188,purple-ish
84,148,59,green-ish
61,100,230,blue-ish
1,224,102,green-ish
103,189,31,green-ish
245,215,23,yellow-ish
74,183,157,blue-ish
60,193,138,green-ish
105,222,247,blue-ish
13,139,176,blue-ish
82,237,164,green-ish
255,122,231,pink-ish
103,189,211,blue-ish
68,203,137,green-ish
30,110,8,green-ish
17,119,153,blue-ish
72,225,239,blue-ish
75,2,132,purple-ish
82,93,180,blue-ish
176,255,69,green-ish
94,237,17,green-ish
1,73,178,blue-ish
200,223,95,yellow-ish
76,127,241,blue-ish
169,64,52,red-ish
215,59,133,pink-ish
0,241,14,green-ish
98,40,23,brown-ish
134,117,154,purple-ish
235,120,11,orange-ish
209,13,231,purple-ish
177,58,156,purple-ish
76,53,226,blue-ish
13,243,44,green-ish
68,208,47,green-ish
119,53,120,purple-ish
180,160,140,grey-ish
22,191,112,green-ish
120,179,237,blue-ish
30,129,191,blue-ish
12,189,167,blue-ish
92,125,198,blue-ish
248,161,63,orange-ish
76,152,43,green-ish
22,98,154,blue-ish
121,193,29,green-ish
107,163,178,blue-ish
78,214,67,green-ish
162,162,123,grey-ish
125,94,178,purple-ish
180,40,79,pink-ish
130,112,21,brown-ish
33,245,76,green-ish
25,237,118,green-ish
134,24,184,purple-ish
23,219,34,green-ish
65,186,94,green-ish
136,28,33,red-ish
36,83,58,green-ish
48,14,81,purple-ish
122,176,8,green-ish
48,87,89,green-ish
178,201,102,green-ish
239,60,22,red-ish
14,204,196,blue-ish
79,156,52,green-ish
147,223,123,green-ish
207,200,208,grey-ish
91,222,220,blue-ish
64,235,86,green-ish
240,68,68,red-ish
145,143,93,green-ish
241,172,154,pink-ish
111,95,21,orange-ish
43,172,179,blue-ish
120,88,68,brown-ish
27,154,234,blue-ish
118,54,92,purple-ish
130,107,39,brown-ish
122,57,160,purple-ish
74,9,44,purple-ish
144,55,198,purple-ish
161,151,204,purple-ish
208,47,31,red-ish
203,58,164,pink-ish
9,235,22,green-ish
71,106,19,green-ish
3,117,70,green-ish
205,188,18,yellow-ish
95,252,132,green-ish
254,246,127,yellow-ish
86,64,189,blue-ish
193,26,6,red-ish
9,74,63,green-ish
165,8,178,purple-ish
76,8,116,purple-ish
98,126,116,grey-ish
218,148,2,orange-ish
235,42,223,pink-ish
47,146,134,green-ish
169,70,115,purple-ish
10,5,242,blue-ish
40,30,83,purple-ish
169,194,10,green-ish
85,243,113,green-ish
165,66,137,purple-ish
